env,tau,seed,method,checkpoint_step,checkpoint,raw_npz,normalization_sha256,n_states,action_dim,max_action,policy_noise,noise_clip,smoothing_samples,target_deterministic_saturation_fraction,smoothed_action_saturation_fraction_mean,target_deterministic_to_next_data_sq_mean_metric_mean,target_deterministic_to_next_data_sq_mean_metric_p50,target_deterministic_to_next_data_sq_mean_metric_p90,target_deterministic_to_next_data_sq_mean_metric_p99,target_deterministic_to_next_data_sq_mean_metric_rms,target_smoothed_to_next_data_sq_mean_metric_mean,target_smoothed_to_next_data_sq_mean_metric_p50,target_smoothed_to_next_data_sq_mean_metric_p90,target_smoothed_to_next_data_sq_mean_metric_p99,target_smoothed_to_next_data_sq_mean_metric_rms,polyak_lag_sq_mean_metric_mean,polyak_lag_sq_mean_metric_p50,polyak_lag_sq_mean_metric_p90,polyak_lag_sq_mean_metric_p99,polyak_lag_sq_mean_metric_rms,current_sample_anchor_proxy_sq_mean_metric_mean,current_sample_anchor_proxy_sq_mean_metric_p50,current_sample_anchor_proxy_sq_mean_metric_p90,current_sample_anchor_proxy_sq_mean_metric_p99,current_sample_anchor_proxy_sq_mean_metric_rms
halfcheetah-expert-v2,0.05,0,expl2,1000000,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.05_expl2_seed0/params_1000000.pkl,/tmp/diag_new_n5wtjheb/target_policy_exposure/raw/halfcheetah-expert-v2/halfcheetah-expert-v2_tau0.05_expl2_seed0_step1000000.npz,7d127608dd57d72ea3a2882a3abd4fa7bacbd0b2fd6c701e0b9d04238203c08b,4096,6,1.0,0.20000000298023224,0.5,64,0.0,0.1788177490234375,0.025485229211559504,0.015885501745060537,0.05674956073441233,0.14698780482907173,0.15964093839475985,0.05549923072130233,0.04665252149860673,0.08775319142270518,0.17499200114970734,0.23558274707903024,0.0004139677204124527,0.00022971880900968245,0.0008278859469138904,0.002819251091532144,0.02034619670632457,0.02512340753285482,0.015848205650096737,0.056260343676607746,0.13411065182614684,0.1585036514811404
halfcheetah-expert-v2,0.05,1,expl2,1000000,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.05_expl2_seed1/params_1000000.pkl,/tmp/diag_new_06tsaqao/target_policy_exposure/raw/halfcheetah-expert-v2/halfcheetah-expert-v2_tau0.05_expl2_seed1_step1000000.npz,7d127608dd57d72ea3a2882a3abd4fa7bacbd0b2fd6c701e0b9d04238203c08b,4096,6,1.0,0.20000000298023224,0.5,64,0.0,0.17859713236490884,0.025394886522873413,0.015951790711672707,0.05692761384489131,0.1397450934901524,0.1593577312930672,0.0554487540800014,0.04702309255655364,0.08848666147979167,0.16873447548675677,0.23547559126160272,0.00043888297499629857,0.00028281502121293067,0.0008827845265626522,0.002743506322017811,0.020949534004275575,0.025074626713274196,0.015842747365316732,0.05658287969466377,0.13928561716696422,0.15834969754715097
halfcheetah-expert-v2,0.05,2,expl2,1000000,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.05_expl2_seed2/params_1000000.pkl,/tmp/diag_new_x4sp1ui7/target_policy_exposure/raw/halfcheetah-expert-v2/halfcheetah-expert-v2_tau0.05_expl2_seed2_step1000000.npz,7d127608dd57d72ea3a2882a3abd4fa7bacbd0b2fd6c701e0b9d04238203c08b,4096,6,1.0,0.20000000298023224,0.5,64,0.0,0.17822329203287762,0.025409306172788273,0.01596427764912889,0.05640317548871583,0.1417521925326282,0.1594029678920323,0.05546058184393844,0.04691643759246342,0.08819695614327548,0.17674254554637173,0.23550070455083238,0.0004290706040740809,0.00023663015326746972,0.0008211799207250199,0.0035097926383983354,0.020714019505496294,0.024934672497587886,0.01563823513667254,0.055327802196491874,0.12881348235847956,0.15790716417435874
halfcheetah-expert-v2,0.05,3,expl2,1000000,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.05_expl2_seed3/params_1000000.pkl,/tmp/diag_new_gdsd8hpo/target_policy_exposure/raw/halfcheetah-expert-v2/halfcheetah-expert-v2_tau0.05_expl2_seed3_step1000000.npz,7d127608dd57d72ea3a2882a3abd4fa7bacbd0b2fd6c701e0b9d04238203c08b,4096,6,1.0,0.20000000298023224,0.5,64,0.0,0.17870648701985675,0.02532602372135992,0.01602451090093382,0.05649905784980547,0.13950520887071136,0.15914152104765092,0.05533608250357275,0.046826025823369186,0.08803789919890177,0.1646287465164653,0.23523622702205702,0.0005016237447265714,0.0003064084817196999,0.0009341006067415947,0.0025097129242972484,0.022396958381141207,0.02515475347035212,0.016160677429676674,0.055551550030941144,0.13358028444608874,0.15860250146309837
halfcheetah-expert-v2,0.1,0,expl2,1000000,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.1_expl2_seed0/params_1000000.pkl,/tmp/diag_new_jv9hbz9g/target_policy_exposure/raw/halfcheetah-expert-v2/halfcheetah-expert-v2_tau0.1_expl2_seed0_step1000000.npz,7d127608dd57d72ea3a2882a3abd4fa7bacbd0b2fd6c701e0b9d04238203c08b,4096,6,1.0,0.20000000298023224,0.5,64,0.0,0.17933909098307294,0.025491299024536618,0.015698349906699605,0.056484201681769264,0.1445832976418994,0.15965994809136266,0.055479608051556766,0.046669683851175536,0.08772639351668388,0.17237012332313315,0.23554109631135872,0.0004498786948510637,0.00024070840206539637,0.0008836322379247955,0.0030391131936677125,0.02121034405310446,0.025062207536336346,0.015824932023077366,0.05463446963343206,0.13585519545886213,0.15831047828977193
halfcheetah-expert-v2,0.1,1,expl2,1000000,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.1_expl2_seed1/params_1000000.pkl,/tmp/diag_new_qzexqcfv/target_policy_exposure/raw/halfcheetah-expert-v2/halfcheetah-expert-v2_tau0.1_expl2_seed1_step1000000.npz,7d127608dd57d72ea3a2882a3abd4fa7bacbd0b2fd6c701e0b9d04238203c08b,4096,6,1.0,0.20000000298023224,0.5,64,0.0,0.17950948079427081,0.025278560369705605,0.015845562832206877,0.056466972785225764,0.13720504096321157,0.1589923280215294,0.055250590459008896,0.046990286677425025,0.0886474227374115,0.16893303846995825,0.23505444147900906,0.00039006672179610726,0.0002474605294556416,0.000780736957660603,0.0023583128793916402,0.019750106880624906,0.024939469294789525,0.015856793231553944,0.05622029326726381,0.13632343961950646,0.15792235210631053
halfcheetah-expert-v2,0.1,2,expl2,1000000,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.1_expl2_seed2/params_1000000.pkl,/tmp/diag_new_hr0fonq8/target_policy_exposure/raw/halfcheetah-expert-v2/halfcheetah-expert-v2_tau0.1_expl2_seed2_step1000000.npz,7d127608dd57d72ea3a2882a3abd4fa7bacbd0b2fd6c701e0b9d04238203c08b,4096,6,1.0,0.20000000298023224,0.5,64,0.0,0.17921829223632812,0.025446468684066775,0.0160545344961065,0.0573190025582638,0.14245359867491061,0.15951949311625452,0.05543315304570447,0.04657565384786623,0.08874151392473212,0.16933891557711345,0.23544246228262325,0.0004935412344134509,0.0002932209047301626,0.0009106386463599847,0.003637037230932366,0.022215787953918063,0.02523981181937398,0.015779918529005954,0.05639310363282372,0.13703383287138474,0.15887042462136866
halfcheetah-expert-v2,0.1,3,expl2,1000000,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.1_expl2_seed3/params_1000000.pkl,/tmp/diag_new_45v_2grc/target_policy_exposure/raw/halfcheetah-expert-v2/halfcheetah-expert-v2_tau0.1_expl2_seed3_step1000000.npz,7d127608dd57d72ea3a2882a3abd4fa7bacbd0b2fd6c701e0b9d04238203c08b,4096,6,1.0,0.20000000298023224,0.5,64,0.0,0.17917887369791669,0.02557304810557544,0.016077962460834115,0.057168672949728716,0.14494173555770748,0.15991575315013665,0.05554821768968399,0.04674538213215832,0.08884690677311646,0.1708990491850335,0.2356866939173359,0.0005114107563241067,0.0003205849269723634,0.0009604081613143005,0.002768976298292123,0.022614392680859387,0.025253228668251818,0.015822356449765117,0.055886538000777364,0.1377586469365162,0.15891264477143352
halfcheetah-expert-v2,0.2,0,expl2,1000000,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.2_expl2_seed0/params_1000000.pkl,/tmp/diag_new_t4jsl7jv/target_policy_exposure/raw/halfcheetah-expert-v2/halfcheetah-expert-v2_tau0.2_expl2_seed0_step1000000.npz,7d127608dd57d72ea3a2882a3abd4fa7bacbd0b2fd6c701e0b9d04238203c08b,4096,6,1.0,0.20000000298023224,0.5,64,0.0,0.18085225423177081,0.025597516765435056,0.016121671797009185,0.05688897219793413,0.1469985933584402,0.15999223970379017,0.05543080838207829,0.0466084013705125,0.08859881249056932,0.17699559207391702,0.23543748295901884,0.0004189843639868391,0.0002191857264900084,0.0009112619832762903,0.002873127549667961,0.020469107552280805,0.024947582894020902,0.01590379832475719,0.05502701044042624,0.13833337425855732,0.15794803858871087
halfcheetah-expert-v2,0.2,1,expl2,1000000,/home/ext_csv/mpi_sweep_lab/results_expl2_matched/halfcheetah-expert-v2_tau0.2_expl2_seed1/params_1000000.pkl,/tmp/diag_new_e0hjg9ep/target_policy_exposure/raw/halfcheetah-expert-v2/halfcheetah-expert-v2_tau0.2_expl2_seed1_step1000000.npz,7d127608dd57d72ea3a2882a3abd4fa7bacbd0b2fd6c701e0b9d04238203c08b,4096,6,1.0,0.20000000298023224,0.5,64,0.0,0.18071937561035156,0.02550532153845636,0.016241808631699918,0.05695520626567448,0.14034972870892223,0.15970385574073145,0.05539012978569691,0.046600149086400255,0.08883740195029477,0.17449275726306013,0.2353510777236784,0.0004375484693417505,0.00024745459445322615,0.0008527903524727283,0.0027282313040738514,0.02091765927014183,0.02506988273908719,0.015643562766854302,0.0564363109678941,0.13422228026283867,0.15833471741562932
